Asnazum            ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 , 561 ,   0 ,   0 ,   0
BBPaws             ,1665 ,1059 ,   0 ,1401 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0
Bitzel             ,   0 ,   0 ,2249 ,   0 ,   0 ,2372 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0
Calvin             ,   0 ,   0 ,2398 ,3042 ,   0 ,   0 ,   0 ,1917 ,2546 ,   0 ,   0 ,   0 ,   0
CaptainPuffy       ,1640 ,2325 ,1577 ,   0 ,1815 ,2190 ,2789 ,2031 ,1886 ,1989 ,1490 ,1878 ,   0
CaptainSparklez    ,2014 ,2120 ,3080 ,2800 ,2719 ,2629 ,2583 ,2479 ,2575 ,2038 ,1787 ,2608 ,2374
ConnorEatsPants    ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 , 959 ,   0 ,   0
cubfan135          ,   0 ,   0 ,   0 ,   0 ,1658 ,1658 ,   0 ,1164 ,   0 ,2307 ,   0 ,1701 ,   0
DanTDM             ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,1789 ,1918 ,2114
Dream              ,   0 ,   0 ,   0 ,   0 ,   0 ,3250 ,3405 ,3060 ,2373 ,3405 ,3626 ,2764 ,2833
Drgluon            , 677 , 986 ,1073 , 989 ,1075 ,   0 , 724 ,   0 ,   0 , 761 ,   0 ,   0 , 456
F1NN5TER           ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,1592 ,   0 ,1447 ,   0 ,1725
falsesymmetry      ,   0 ,   0 ,   0 ,1909 ,1976 ,1652 ,1810 ,1327 ,2455 ,2261 ,2217 ,1590 ,2347
FlorianFunke       ,2505 ,2163 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0
fruitberries       ,   0 ,   0 ,   0 ,   0 ,   0 ,3031 ,2638 ,   0 ,3805 ,   0 ,3129 ,3318 ,3079
Fundy              ,   0 ,   0 ,   0 ,   0 ,   0 ,2790 ,3382 ,1921 ,2090 ,   0 ,2596 ,2922 ,2474
fWhip              ,   0 ,   0 ,   0 ,1456 ,2534 ,2008 ,2724 ,2609 ,   0 ,   0 ,2139 ,2059 ,   0
GamerBurry         , 808 ,1271 ,1464 ,1320 ,1050 ,1288 ,   0 , 848 ,1183 ,   0 ,   0 ,   0 ,   0
GeorgeNotFound     ,   0 ,   0 ,   0 ,   0 ,   0 ,2450 ,2004 ,2092 ,2509 ,2491 ,2071 ,2459 ,2127
GizzyGazza         ,   0 ,   0 ,1937 ,1473 ,   0 ,   0 ,1480 ,   0 ,1471 ,   0 ,   0 ,1767 ,   0
Graser10           ,   0 ,   0 ,   0 ,2008 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0
Grian              ,   0 ,   0 ,   0 ,   0 ,   0 ,2111 ,1996 ,   0 ,1727 ,   0 ,2107 ,1962 ,2308
HBomb94            ,2470 ,2877 ,2422 ,2453 ,2001 ,2972 ,3459 ,2998 ,3413 ,   0 ,2621 ,2600 ,2821
IHasCupquake       ,1032 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0
iicBunnyx          ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 , 811 ,   0 ,   0 ,   0
iJevin             ,1654 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0
Illumina           ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,2282 ,2849
InTheLittleWood    ,1967 ,1558 ,   0 ,2514 ,2472 ,2864 ,1837 ,1983 ,1606 ,   0 ,1766 ,   0 ,   0
Iskall85           ,   0 ,   0 ,   0 ,   0 ,2158 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0
ItsJustOriah       ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,1312 ,   0 ,   0 ,   0
JackSucksAtLife    ,1208 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0
JamesCharles       ,   0 ,   0 ,   0 ,1101 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 , 708 ,   0 ,   0
Jameskii           ,1658 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0
JamesTurner        , 725 , 952 ,1402 ,1681 ,1292 ,   0 ,1354 ,   0 ,   0 , 942 ,   0 ,   0 , 734
JCtheCaster        ,2614 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0
JeromeASF          ,   0 ,   0 ,   0 ,2173 ,1813 ,   0 ,2543 ,   0 ,1671 ,   0 ,   0 ,   0 ,   0
Jestanii           ,   0 ,1493 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0
JOEYGRACEFFA       ,1048 , 746 ,1500 ,1267 ,   0 ,   0 ,   0 , 347 ,   0 ,   0 ,   0 ,   0 ,   0
KaraCorvus         ,2371 ,1980 ,1665 ,2372 ,2013 ,1971 ,2262 ,1718 ,1923 ,1695 ,1483 ,1927 ,1806
KarlJacobs         ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,1329 ,   0 ,1487
KatherineElizabeth ,   0 ,1167 ,1118 ,1627 ,   0 ,1533 ,   0 ,1769 ,   0 ,   0 ,1044 ,   0 ,1430
King_Burren        ,2445 ,2483 ,1645 ,2215 ,2427 ,2172 ,1804 ,2327 ,   0 ,2395 ,1238 ,2142 ,   0
Kontuz             ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 , 941 ,   0 ,   0 ,   0
Krinios            ,   0 ,1709 ,2590 ,2779 ,2686 ,2431 ,3195 ,2402 ,   0 ,2865 ,1825 ,   0 ,2680
Krtzy              ,3029 ,2761 ,2506 ,3110 ,2507 ,   0 ,2718 ,3004 ,3024 ,   0 ,2142 ,   0 ,3049
