5uppps             ,   0 ,1829 ,2016 ,1549 ,2155 ,   0 ,2966 ,2604 ,   0 ,   0 ,1646 ,2364 ,2657 ,0 ,   0
aimsey             ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,1097 ,1369 ,1583 ,1405 ,0 ,1399
Antfrost           ,   0 ,2155 ,2677 ,2372 ,2551 ,   0 ,3183 ,2019 ,   0 ,2982 ,   0 ,2763 ,2594 ,0 ,2856
AntVenom           ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,1212 ,1723 ,   0 ,0 ,   0
awesamdude         ,   0 ,   0 ,   0 ,   0 ,1589 ,2294 ,1932 ,1496 ,2501 ,   0 ,   0 ,2024 ,   0 ,0 ,1953
BadBoyHalo         ,1449 ,   0 ,2312 ,   0 ,   0 ,   0 ,   0 ,1423 ,   0 ,1762 ,1826 ,   0 ,1922 ,0 ,1805
bekyamon           ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,0 ,1932
Blushi             ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,1313 ,1401 ,   0 ,1613 ,1748 ,0 ,   0
CaptainPuffy       ,1578 ,   0 ,1840 ,   0 ,1934 ,   0 ,1758 ,   0 ,1600 ,   0 ,1458 ,   0 ,   0 ,0 , 852
CaptainSparklez    ,1968 ,2206 ,2223 ,2016 ,2531 ,1442 ,2719 ,1886 ,2424 ,2339 ,1639 ,1556 ,1674 ,0 ,2413
ConnorEatsPants    ,   0 ,1193 ,   0 ,   0 ,   0 ,   0 ,1396 ,   0 ,   0 ,1164 ,   0 ,   0 ,   0 ,0 ,   0
cubfan135          ,1593 ,   0 ,   0 ,1803 ,   0 ,   0 ,2429 ,   0 ,1497 ,1887 ,1779 ,   0 ,1649 ,0 ,1350
DanTDM             ,1810 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,0 ,   0
Dream              ,2224 ,3203 ,3031 ,2688 ,3008 ,2640 ,   0 ,2019 ,3247 ,2920 ,3050 ,   0 ,   0 ,0 ,   0
Drgluon            ,   0 ,   0 , 706 ,   0 ,   0 , 451 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,0 , 763
ElainaExe          ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,1426 ,1364 ,   0 ,1371 ,   0 ,1501 ,   0 ,0 ,   0
F1NN5TER           ,   0 ,   0 ,2118 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,1880 ,   0 ,   0 ,1367 ,0 ,   0
falsesymmetry      ,1248 ,1395 ,   0 ,2343 ,   0 ,1067 ,2065 ,   0 ,1360 ,1318 ,   0 ,1358 ,   0 ,0 ,1693
FoolishG           ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,1705 ,1910 ,2166 ,2101 ,2063 ,0 ,   0
fruitberries       ,2859 ,2075 ,3307 ,3306 ,   0 ,3464 ,3002 ,3048 ,   0 ,   0 ,2672 ,2954 ,3166 ,0 ,   0
Fundy              ,2500 ,2749 ,2699 ,   0 ,2682 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,0 ,   0
fWhip              ,   0 ,1901 ,   0 ,2041 ,   0 ,   0 ,   0 ,2018 ,   0 ,   0 ,   0 ,   0 ,   0 ,0 ,   0
GeeNelly           ,   0 ,   0 ,   0 ,   0 ,1747 ,   0 ,   0 ,1417 ,1168 ,1160 ,1565 ,   0 ,1471 ,0 ,1605
GeminiTay          ,   0 ,   0 ,   0 ,1911 ,1545 ,1526 ,2143 ,   0 ,1442 ,   0 ,1362 ,   0 ,   0 ,0 ,1861
GeorgeNotFound     ,1961 ,   0 ,2371 ,2423 ,2579 ,2590 ,   0 ,1923 ,2536 ,2256 ,2310 ,   0 ,   0 ,0 ,   0
GizzyGazza         ,   0 ,   0 ,   0 ,   0 ,1589 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,0 ,   0
GoodTimeWithScar   ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,1434 ,1257 ,1391 ,1622 ,1173 ,1681 ,   0 ,0 ,1818
Grian              ,1827 ,1827 ,2461 ,2815 ,1751 ,2222 ,   0 ,1849 ,1866 ,   0 ,   0 ,1492 ,1841 ,0 ,   0
hannahxxrose       ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,2176 ,2039 ,   0 ,0 ,2114
HBomb94            ,2731 ,   0 ,2165 ,2491 ,1791 ,   0 ,3009 ,   0 ,2253 ,   0 ,3251 ,2644 ,2756 ,0 ,1975
Illumina           ,   0 ,3208 ,   0 ,2909 ,3486 ,   0 ,3865 ,2692 ,   0 ,   0 ,2768 ,2882 ,   0 ,0 ,3960
impulseSV          ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,0 ,1904
InTheLittleWood    ,2286 ,2134 ,   0 ,2289 ,   0 ,1576 ,2164 ,   0 ,   0 ,2245 ,1463 ,   0 ,1822 ,0 ,1677
JackManifoldTV     ,1571 ,1926 ,2191 ,1320 ,1544 ,1708 ,1616 ,2093 ,   0 ,   0 ,1792 ,1713 ,1365 ,0 ,1970
JamesTurner        ,   0 ,   0 , 667 ,   0 ,   0 , 358 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,0 , 625
jojosolos          ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,2517 ,3088 ,2071 ,2998 ,3180 ,   0 ,0 ,3054
KaraCorvus         ,1398 , 730 ,   0 ,1544 ,1582 ,1391 ,1298 ,1450 ,   0 ,1688 ,   0 ,1701 ,1797 ,0 ,   0
KarlJacobs         ,   0 ,   0 ,   0 ,1803 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,0 ,   0
KatherineElizabeth ,1547 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,0 ,   0
King_Burren        ,   0 ,   0 ,   0 ,1160 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,0 ,   0
Krinios            ,   0 ,1472 ,   0 ,   0 ,   0 ,2381 ,   0 ,1479 ,   0 ,   0 ,2474 ,   0 ,2309 ,0 ,   0
Krtzy              ,2877 ,2094 ,2613 ,   0 ,2571 ,   0 ,2117 ,2010 ,   0 ,   0 ,2427 ,   0 ,2723 ,0 ,   0
KryticZeuz         ,   0 ,   0 , 930 ,1823 ,   0 , 588 ,   0 ,2083 ,   0 ,2156 ,   0 ,2134 ,   0 ,0 , 914
ludwigahgren       ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,0 ,1062
Magistrex          ,   0 ,   0 ,1408 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,0 ,   0
Mefs               ,   0 ,   0 ,   0 ,   0 ,2390 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,0 ,   0
Michaelmcchill     ,   0 ,1777 ,   0 ,   0 ,   0 ,1242 ,   0 ,   0 ,1245 ,   0 ,1787 ,   0 ,   0 ,0 ,   0
Nihachu            ,1450 , 865 ,1700 ,1078 ,1194 ,1208 , 913 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,0 ,   0
OrionSound         ,1871 ,1290 ,1818 ,   0 ,1645 ,   0 ,1591 ,   0 ,2179 ,   0 ,1471 ,   0 ,1901 ,0 ,   0
PearlescentMoon    ,   0 ,1324 ,1713 ,   0 ,2130 ,   0 ,   0 ,   0 ,1927 ,1293 ,1896 ,1766 ,   0 ,0 , 955
PeteZahHutt        ,3862 ,   0 ,2382 ,3492 ,2454 ,2475 ,2678 ,2218 ,2920 ,2786 ,   0 ,2698 ,2845 ,0 ,2383
Ph1LzA             ,2328 ,2000 ,2020 ,1209 ,1723 ,2706 ,2712 ,2091 ,   0 ,2278 ,1817 ,1764 ,2319 ,0 ,2350
Ponk               ,   0 ,   0 ,2079 ,1564 ,   0 ,   0 ,1622 ,1636 ,   0 ,   0 ,   0 ,2110 ,   0 ,0 ,   0
Punz               ,3451 ,2976 ,3332 ,2005 ,2696 ,3029 ,3246 ,2505 ,2718 ,3317 ,   0 ,2727 ,2363 ,0 ,2723
Purpled            ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,2347 ,2742 ,3168 ,   0 ,3057 ,2762 ,3429 ,0 ,3632
Quackity           ,1186 ,1900 ,   0 ,   0 ,1623 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,0 ,   0
Quig               ,2948 ,2965 ,3328 ,3044 ,   0 ,2286 ,3466 ,   0 ,2690 ,3410 ,   0 ,   0 ,   0 ,0 ,   0
Ranboo             ,   0 ,2167 ,2085 ,2627 ,2429 ,2856 ,2707 ,1875 ,2152 ,1534 ,1879 ,2110 ,2063 ,0 ,2313
